metric,metric_label,analysis_role,analysis_unit,inference_status,minimum_specimens_per_group_for_inference,reference_group,comparison_group,reference_n,comparison_n,reference_mean,comparison_mean,reference_sd,comparison_sd,reference_q1,reference_median,reference_q3,comparison_q1,comparison_median,comparison_q3,median_difference_comparison_minus_reference,median_percent_difference,bootstrap_median_difference_95ci_low,bootstrap_median_difference_95ci_high,cliffs_delta_comparison_minus_reference,permutation_median_test_p,mann_whitney_u,mann_whitney_p,welch_t,welch_t_p,hedges_g_comparison_minus_reference,permutation_bh_fdr_q,mann_whitney_bh_fdr_q,welch_t_bh_fdr_q
estimated_nuclei_per_1000_um2,"Estimated nuclei per 1,000 um2",count_exploratory,biological specimen,insufficient_specimens,3,WT,KJ,1,1,95.2638479664346,120.86060556869232,,,95.2638479664346,95.2638479664346,95.2638479664346,120.86060556869232,120.86060556869232,120.86060556869232,25.596757602257725,26.869329917553326,,,,,,,,,,,,
estimated_nuclei_per_100000_um3,"Estimated nuclei per 100,000 um3",count_exploratory,biological specimen,insufficient_specimens,3,WT,KJ,1,1,410.72032145637183,396.7299320191325,,,410.72032145637183,410.72032145637183,410.72032145637183,396.7299320191325,396.7299320191325,396.7299320191325,-13.990389437239344,-3.4063056309536544,,,,,,,,,,,,
median_3d_z_span_um,Specimen median Z span (um),tracking_sensitive,biological specimen,insufficient_specimens,3,WT,KJ,1,1,0.6923682140047207,0.69236821400472,,,0.6923682140047207,0.6923682140047207,0.6923682140047207,0.69236821400472,0.69236821400472,0.69236821400472,-6.661338147750939e-16,-9.621091802035732e-14,,,,,,,,,,,,
