group,specimen_count,median_2d_length_um_median,median_body_width_um_median,median_length_body_width_ratio_median,median_projection_z_extent_um_median,median_3d_tortuosity_median,median_observed_slab_effective_thickness_um_median,median_observed_slice_mask_volume_um3_median
KJ,1,9.92,1.5523,7.045072686098327,10.19698420605453,1.1323619966509142,1.262565868114934,13.037861847295982
WT,1,8.536,1.6921,5.716582874626884,8.912929321313497,1.123739361502195,1.2816081944627444,11.748947748323769
