sample_id,group,status,input_dir,output_dir,slice_count,xy_um_per_pixel,z_um_per_slice,roi_pixel_count,frame_pixel_count,roi_fraction_of_frame,roi_area_um2,included_slice_count,z_spacing_um,sampled_depth_um,stack_span_um,sampled_roi_volume_um3,detection_positive_slice_count,detection_positive_z_min,detection_positive_z_max,detection_positive_slice_fraction,raw_2d_detection_count,raw_2d_detections_per_1000_um2_per_slice,saturn_classical_count,unet_rescued_count,unet_rescue_fraction,saturn_classical_2d_count,unet_primary_2d_count,unet_supported_2d_count,unet_rescued_2d_count,unet_rescued_direct_2d_count,unet_rescued_split_2d_count,unet_rescued_short_high_confidence_2d_count,unet_rescued_low_ratio_high_confidence_2d_count,unet_rescued_other_2d_count,unet_probability_supported_2d_count,median_probability_of_unet_supported,median_probability_of_unet_rescues,unet_rescue_fraction_of_2d_detections,estimated_unique_nuclei,estimated_unique_nuclei_classical_only,estimated_unique_nuclei_with_unet_evidence,estimated_unique_nuclei_unet_fraction,estimated_nuclei_per_1000_um2,estimated_nuclei_per_100000_um3,qc_technical_failure_track_count,qc_classical_only_3d_track_count,qc_unet_associated_3d_track_count,qc_analysis_population_unet_track_count,lower_z_boundary_track_count,upper_z_boundary_track_count,z_boundary_track_count,z_boundary_track_fraction,z_coverage_censored,normalization_valid,normalization_warning,median_2d_length_um,median_2d_width_um,median_2d_length_width_ratio,median_body_width_um,median_body_width_p90_um,median_area_length_width_um,median_length_body_width_ratio,body_width_available_fraction,median_3d_length_um,median_3d_tortuosity,median_3d_thickness_um,median_3d_volume_um3,median_3d_z_span_um,acquisition_class,message
kj_sv_40xx0.75-6,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-7,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-8,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-9,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lkj_sv_40xx0.75-18,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\lkj sv 40xx0.75-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-1,WT,complete,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-1,C:\Users\dmishra\Desktop\sperm_project\scratch\v571_post_audit_remediation_pilot_run3\samples\w1118_sv_feb_40xx0.75-1\attempt_001,67.0,0.37841796875,0.3461841070023603,250920.0,1048576.0,0.2392959594726562,35931.78391456604,67.0,0.3461841070023603,23.194335169158144,22.848151062155782,833413.83934021,67.0,0.0,66.0,1.0,16421.0,6.820968110616169,0.0,0.0,0.0,0.0,16421.0,16421.0,0.0,0.0,0.0,0.0,0.0,0.0,16421.0,0.9424,0.9424,0.0,2816.0,0.0,2816.0,1.0,78.37072622654978,337.88735764567423,132.0,0.0,2948.0,2816.0,213.0,216.0,429.0,0.1455223880597015,True,True,detections reach an acquisition Z boundary,8.952,1.514,4.133,1.692,1.9275,1.7532,5.931504677342636,0.7624289772727273,9.291831344991367,1.1799289075165784,1.4375745315470598,14.723364899798138,1.038552321007081,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,
w1118_sv_feb_40xx0.75-10,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-11,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-12,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-13,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-14,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-16,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
