sample_id,group,planes_sampled,detections,width_available,width_unavailable_fraction,boundary_clipped_fraction,median_signal_width_um,median_mask_width_um_available,median_mask_width_um_unavailable,mask_width_selection_bias_um,detections_per_1000um2,median_nearest_neighbour_um,unavailable_reasons
w1118_sv_feb_40xx0.75-17,WT,3,594,462,0.2222222222222222,0.16666666666666666,0.68015,1.5399530029296873,1.0393060302734376,-0.5006469726562497,5.58451011463961,5.817430153744259,"{""unavailable_boundary_clipped_profiles"": 99, ""unavailable_insufficient_profiles"": 10, ""unavailable_short_centerline"": 23}"
w1118_sv_feb_40xx0.75-18,WT,3,601,467,0.22296173044925127,0.17304492512479203,0.6828,1.536036376953125,0.94271484375,-0.5933215332031249,5.646010942693773,6.131422164669657,"{""unavailable_boundary_clipped_profiles"": 104, ""unavailable_insufficient_profiles"": 5, ""unavailable_short_centerline"": 25}"
w1118_sv_feb_40xx0.75-2,WT,3,736,573,0.22146739130434778,0.1671195652173913,0.7415,1.6518701171874999,1.1061724853515624,-0.5456976318359374,6.498329913403709,5.914288859198168,"{""unavailable_boundary_clipped_profiles"": 123, ""unavailable_insufficient_profiles"": 9, ""unavailable_short_centerline"": 31}"
w1118_sv_feb_40xx0.75-3,WT,3,555,443,0.20180180180180185,0.16396396396396395,0.7058,1.61213623046875,1.0742150878906251,-0.537921142578125,5.443237575813164,6.464826294485673,"{""unavailable_boundary_clipped_profiles"": 91, ""unavailable_insufficient_profiles"": 9, ""unavailable_short_centerline"": 12}"
w1118_sv_feb_40xx0.75-4,WT,3,600,480,0.19999999999999996,0.16666666666666666,0.7388,1.5871038818359375,1.0930224609374999,-0.49408142089843765,5.604385501296968,5.987739458850568,"{""unavailable_boundary_clipped_profiles"": 100, ""unavailable_insufficient_profiles"": 3, ""unavailable_short_centerline"": 17}"
w1118_sv_feb_40xx0.75-5,WT,3,397,300,0.24433249370277077,0.17884130982367757,0.7000500000000001,1.58261962890625,1.047044677734375,-0.535574951171875,4.854664048894144,6.3602368616661416,"{""unavailable_boundary_clipped_profiles"": 71, ""unavailable_insufficient_profiles"": 7, ""unavailable_short_centerline"": 19}"
w1118_sv_feb_40xx0.75-6,WT,3,621,480,0.22705314009661837,0.1723027375201288,0.7045,1.63665771484375,1.0972607421875,-0.53939697265625,5.373214833192007,6.3145151057312905,"{""unavailable_boundary_clipped_profiles"": 107, ""unavailable_insufficient_profiles"": 14, ""unavailable_short_centerline"": 20}"
w1118_sv_feb_40xx0.75-7,WT,3,626,482,0.23003194888178913,0.17092651757188498,0.68025,1.638133544921875,1.0769775390625,-0.561156005859375,6.616002076179452,6.162135511851883,"{""unavailable_boundary_clipped_profiles"": 107, ""unavailable_insufficient_profiles"": 10, ""unavailable_short_centerline"": 27}"
w1118_sv_feb_40xx0.75-8,WT,3,667,527,0.20989505247376317,0.15592203898050974,0.708,1.5639636230468752,0.84273681640625,-0.7212268066406252,5.466939502067223,6.511538612331796,"{""unavailable_boundary_clipped_profiles"": 104, ""unavailable_insufficient_profiles"": 12, ""unavailable_short_centerline"": 24}"
w1118_sv_feb_40xx0.75-9,WT,3,563,448,0.20426287744227356,0.16163410301953818,0.7241500000000001,1.6070843505859376,0.995579833984375,-0.6115045166015626,6.266772312270568,5.9000446327994265,"{""unavailable_boundary_clipped_profiles"": 91, ""unavailable_insufficient_profiles"": 5, ""unavailable_short_centerline"": 19}"
