candidate_role,stratum_count,mean_score,mean_rank,min_rank,max_rank,mean_n_2d,mean_count_cv,max_empty_slice_fraction,max_very_short_object_fraction,max_very_long_object_fraction,max_outside_roi_overlap_count,max_exclusion_mask_overlap_count,mean_unet_rescue_fraction,TRACK_MAX_DIST_UM,ASSIGNMENT_MAX_COST,ASSIGNMENT_DIST_WEIGHT
deterministic_random_009,4,21.701843919979044,3.25,1,5,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,4.358071089591682,8.804894753279228,2.946996135464142
deterministic_random_002,4,22.013783414322678,4.0,2,6,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,4.194559420798371,5.210470136930854,0.9841533726126857
space_midpoint,4,22.665697692080172,5.0,1,10,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,5.0,6.0,1.75
deterministic_random_005,4,23.221214878627755,5.25,1,11,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,5.212884342277319,5.129408318019593,2.8951619627488716
deterministic_random_008,4,23.255162807066057,6.5,3,11,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,3.7598855148872814,5.049362554641313,0.5588030453555013
reviewed_base,4,22.899273511150028,6.75,1,10,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,4.295042902613942,3.2959153381387862,2.2791932345389156
deterministic_random_004,4,23.306617577187883,7.0,3,11,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,4.731745072039663,6.372470928455058,0.9358589018093295
deterministic_random_001,4,23.30806005419368,7.25,3,11,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,4.666479490181365,3.0610150167424104,2.563016273134358
deterministic_random_006,4,23.454899639964026,7.25,4,12,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,3.3651763955069405,8.87183997342246,1.5302984823482526
deterministic_random_007,4,23.860850253193266,7.25,4,9,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,5.0157414724401495,3.8888770135811352,2.2974178507522125
deterministic_random_003,4,24.59758704790076,7.75,3,12,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,5.264032674915445,3.970126943576209,0.8106672107088254
deterministic_random_010,4,25.72799568943538,10.75,9,12,1243.75,0.0,0.0,0.0,0.0,0,0,0.0,5.9781201605641385,3.0207276645305736,2.850596257744357
