metric,metric_label,analysis_unit,reference_group,comparison_group,reference_n,comparison_n,reference_mean,comparison_mean,reference_median,comparison_median,median_difference_comparison_minus_reference,median_percent_difference,cliffs_delta_comparison_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,permutation_p_value,inference_status,bh_fdr_q_value
estimated_nuclei_per_1000_um2,"Estimated nuclei per 1,000 um2",biological specimen,WT,KJ,1,1,78.37072622654978,101.29770530172799,78.37072622654978,101.29770530172799,22.92697907517821,29.25451910309235,1.0,,,,insufficient_specimens,
estimated_nuclei_per_100000_um3,"Estimated nuclei per 100,000 um3",biological specimen,WT,KJ,1,1,337.88735764567423,332.5139035085134,337.88735764567423,332.5139035085134,-5.37345413716082,-1.5903093192364113,-1.0,,,,insufficient_specimens,
median_2d_length_um,Specimen median 2D length (um),biological specimen,WT,KJ,1,1,8.952,10.52,8.952,10.52,1.5679999999999996,17.51563896336014,1.0,,,,insufficient_specimens,
median_body_width_um,Specimen median apparent central-body mask width (um),biological specimen,WT,KJ,1,1,1.692,1.558,1.692,1.558,-0.1339999999999999,-7.919621749408978,-1.0,,,,insufficient_specimens,
median_body_width_p90_um,Specimen median P90 body width (um),biological specimen,WT,KJ,1,1,1.9275,1.7122,1.9275,1.7122,-0.21530000000000005,-11.169909208819718,-1.0,,,,insufficient_specimens,
median_length_body_width_ratio,Specimen median length / body width,biological specimen,WT,KJ,1,1,5.931504677342636,7.398548942449581,5.931504677342636,7.398548942449581,1.4670442651069457,24.733087891017128,1.0,,,,insufficient_specimens,
median_3d_length_um,Specimen median 3D length (um),biological specimen,WT,KJ,1,1,9.291831344991367,10.916883321384908,9.291831344991367,10.916883321384908,1.6250519763935412,17.48903866264752,1.0,,,,insufficient_specimens,
median_3d_tortuosity,Specimen median 3D tortuosity,biological specimen,WT,KJ,1,1,1.1799289075165784,1.2195027569457249,1.1799289075165784,1.2195027569457249,0.039573849429146435,3.3539181197313286,1.0,,,,insufficient_specimens,
median_3d_thickness_um,Specimen median effective thickness (um),biological specimen,WT,KJ,1,1,1.4375745315470598,1.4105613540018584,1.4375745315470598,1.4105613540018584,-0.027013177545201383,-1.8790801417531298,-1.0,,,,insufficient_specimens,
median_3d_volume_um3,Specimen median volume (um3),biological specimen,WT,KJ,1,1,14.723364899798138,17.15247224016886,14.723364899798138,17.15247224016886,2.42910734037072,16.498316498316388,1.0,,,,insufficient_specimens,
median_3d_z_span_um,Specimen median Z span (um),biological specimen,WT,KJ,1,1,1.038552321007081,1.38473642800944,1.038552321007081,1.38473642800944,0.346184107002359,33.3333333333332,1.0,,,,insufficient_specimens,
