specimen,foreground_threshold,plane_count,median_match_iou,median_body_width_change_percent,max_abs_body_width_change_percent,median_mask_area_change_percent,max_abs_mask_area_change_percent
KJ-01,0.55,3,0.98,0.015627497753688227,4.098185348215021,2.0408163265306123,4.8076923076923075
KJ-01,0.6,3,1.0,0.0,0.0,0.0,0.0
KJ-01,0.65,3,0.9897959183673469,0.00585573421290466,0.2555938095644958,-1.0204081632653061,4.938271604938271
WT-01,0.55,3,0.9661016949152542,0.0,0.7882290975332203,3.508771929824561,3.8461538461538463
WT-01,0.6,3,1.0,0.0,0.0,0.0,0.0
WT-01,0.65,3,0.9701492537313433,-2.7028270797433223,2.9754486888891556,-2.985074626865672,5.2631578947368425
