include,sample_id,group,input_dir,roi_path,file_pattern,slice_count,z_min,z_max,xy_um_per_pixel,z_um_per_slice,calibration_metadata_path,acquisition_class,status,message,output_dir
True,kj_sv_40xx0.75-1,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-1,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-1\analysis_roi_v5_7.npy,Project001_Series002_z*_ch00.tif,88,0,87,0.37841796875,0.34618410700236,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-1\MetaData\Project001_Series002.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,validated,,
False,kj_sv_40xx0.75-10,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-10,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-10\analysis_roi_v5_7.npy,Project001_Series011_z*_ch00.tif,72,0,71,0.37841796875,0.3461841070023605,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-10\MetaData\Project001_Series011.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-11,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-11,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-11\analysis_roi_v5_7.npy,Project001_Series013_z*_ch00.tif,80,0,79,0.37841796875,0.3461841070023608,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-11\MetaData\Project001_Series013.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-12,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-12,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-12\analysis_roi_v5_7.npy,Project001_Series014_z*_ch00.tif,76,0,75,0.37841796875,0.34618410700235996,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-12\MetaData\Project001_Series014.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-13,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-13,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-13\analysis_roi_v5_7.npy,Project001_Series015_z*_ch00.tif,85,0,84,0.37841796875,0.3461841070023607,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-13\MetaData\Project001_Series015.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-14,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-14,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-14\analysis_roi_v5_7.npy,Project001_Series016_z*_ch00.tif,67,0,66,0.37841796875,0.34618410700236063,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-14\MetaData\Project001_Series016.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-15,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-15,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-15\analysis_roi_v5_7.npy,Project001_Series017_z*_ch00.tif,83,0,82,0.37841796875,0.3461841070023598,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-15\MetaData\Project001_Series017.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-16,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-16,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-16\analysis_roi_v5_7.npy,Project001_Series018_z*_ch00.tif,60,0,59,0.37841796875,0.346184107002361,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-16\MetaData\Project001_Series018.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-17,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-17,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-17\analysis_roi_v5_7.npy,Project001_Series019_z*_ch00.tif,80,0,79,0.37841796875,0.34618410700236074,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-17\MetaData\Project001_Series019.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-2,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-2,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-2\analysis_roi_v5_7.npy,Project001_Series003_z*_ch00.tif,81,0,80,0.37841796875,0.3461841070023604,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-2\MetaData\Project001_Series003.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
False,kj_sv_40xx0.75-3,KJ,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-3,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-3\analysis_roi_v5_7.npy,Project001_Series004_z*_ch00.tif,79,0,78,0.37841796875,0.34618410700236035,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-3\MetaData\Project001_Series004.xml,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,excluded,,
