group,specimen_count,estimated_unique_nuclei_specimen_count,estimated_unique_nuclei_mean,estimated_unique_nuclei_median,estimated_unique_nuclei_std,estimated_nuclei_per_1000_um2_specimen_count,estimated_nuclei_per_1000_um2_mean,estimated_nuclei_per_1000_um2_median,estimated_nuclei_per_1000_um2_std,estimated_nuclei_per_100000_um3_specimen_count,estimated_nuclei_per_100000_um3_mean,estimated_nuclei_per_100000_um3_median,estimated_nuclei_per_100000_um3_std,median_2d_length_um_specimen_count,median_2d_length_um_mean,median_2d_length_um_median,median_2d_length_um_std,median_body_width_um_specimen_count,median_body_width_um_mean,median_body_width_um_median,median_body_width_um_std,median_body_width_p90_um_specimen_count,median_body_width_p90_um_mean,median_body_width_p90_um_median,median_body_width_p90_um_std,median_area_length_width_um_specimen_count,median_area_length_width_um_mean,median_area_length_width_um_median,median_area_length_width_um_std,median_length_body_width_ratio_specimen_count,median_length_body_width_ratio_mean,median_length_body_width_ratio_median,median_length_body_width_ratio_std,body_width_available_fraction_specimen_count,body_width_available_fraction_mean,body_width_available_fraction_median,body_width_available_fraction_std,median_projection_z_extent_um_specimen_count,median_projection_z_extent_um_mean,median_projection_z_extent_um_median,median_projection_z_extent_um_std,median_3d_tortuosity_specimen_count,median_3d_tortuosity_mean,median_3d_tortuosity_median,median_3d_tortuosity_std,median_observed_slab_effective_thickness_um_specimen_count,median_observed_slab_effective_thickness_um_mean,median_observed_slab_effective_thickness_um_median,median_observed_slab_effective_thickness_um_std,median_observed_slice_mask_volume_um3_specimen_count,median_observed_slice_mask_volume_um3_mean,median_observed_slice_mask_volume_um3_median,median_observed_slice_mask_volume_um3_std,median_3d_z_span_um_specimen_count,median_3d_z_span_um_mean,median_3d_z_span_um_median,median_3d_z_span_um_std,roi_area_um2_specimen_count,roi_area_um2_mean,roi_area_um2_median,roi_area_um2_std,sampled_roi_volume_um3_specimen_count,sampled_roi_volume_um3_mean,sampled_roi_volume_um3_median,sampled_roi_volume_um3_std,z_boundary_track_fraction_specimen_count,z_boundary_track_fraction_mean,z_boundary_track_fraction_median,z_boundary_track_fraction_std
KJ,1,1,5517.0,5517.0,,1,120.86060556869232,120.86060556869232,,1,396.7299320191325,396.7299320191325,,1,9.92,9.92,,1,1.5523,1.5523,,1,1.6923,1.6923,,1,1.5658,1.5658,,1,7.045072686098327,7.045072686098327,,1,0.7806779046583288,0.7806779046583288,,1,10.19698420605453,10.19698420605453,,1,1.1323619966509142,1.1323619966509142,,1,1.262565868114934,1.262565868114934,,1,13.037861847295982,13.037861847295982,,1,0.69236821400472,0.69236821400472,,1,45647.62830734253,45647.62830734253,,1,1390618.542927066,1390618.542927066,,1,0.053069719042663895,0.053069719042663895,
WT,1,1,3423.0,3423.0,,1,95.26384796643461,95.26384796643461,,1,410.72032145637183,410.72032145637183,,1,8.536,8.536,,1,1.6921,1.6921,,1,1.9247,1.9247,,1,1.7534,1.7534,,1,5.716582874626884,5.716582874626884,,1,0.7724218521764534,0.7724218521764534,,1,8.912929321313497,8.912929321313497,,1,1.123739361502195,1.123739361502195,,1,1.2816081944627444,1.2816081944627444,,1,11.748947748323769,11.748947748323769,,1,0.6923682140047207,0.6923682140047207,,1,35931.78391456604,35931.78391456604,,1,833413.8393402098,833413.8393402098,,1,0.12115221688788477,0.12115221688788477,
