group,specimen_count,estimated_unique_nuclei_specimen_count,estimated_unique_nuclei_mean,estimated_unique_nuclei_median,estimated_unique_nuclei_std,estimated_nuclei_per_1000_um2_specimen_count,estimated_nuclei_per_1000_um2_mean,estimated_nuclei_per_1000_um2_median,estimated_nuclei_per_1000_um2_std,estimated_nuclei_per_100000_um3_specimen_count,estimated_nuclei_per_100000_um3_mean,estimated_nuclei_per_100000_um3_median,estimated_nuclei_per_100000_um3_std,median_2d_length_um_specimen_count,median_2d_length_um_mean,median_2d_length_um_median,median_2d_length_um_std,median_body_width_um_specimen_count,median_body_width_um_mean,median_body_width_um_median,median_body_width_um_std,median_body_width_p90_um_specimen_count,median_body_width_p90_um_mean,median_body_width_p90_um_median,median_body_width_p90_um_std,median_area_length_width_um_specimen_count,median_area_length_width_um_mean,median_area_length_width_um_median,median_area_length_width_um_std,median_length_body_width_ratio_specimen_count,median_length_body_width_ratio_mean,median_length_body_width_ratio_median,median_length_body_width_ratio_std,body_width_available_fraction_specimen_count,body_width_available_fraction_mean,body_width_available_fraction_median,body_width_available_fraction_std,median_3d_length_um_specimen_count,median_3d_length_um_mean,median_3d_length_um_median,median_3d_length_um_std,median_3d_tortuosity_specimen_count,median_3d_tortuosity_mean,median_3d_tortuosity_median,median_3d_tortuosity_std,median_3d_thickness_um_specimen_count,median_3d_thickness_um_mean,median_3d_thickness_um_median,median_3d_thickness_um_std,median_3d_volume_um3_specimen_count,median_3d_volume_um3_mean,median_3d_volume_um3_median,median_3d_volume_um3_std,median_3d_z_span_um_specimen_count,median_3d_z_span_um_mean,median_3d_z_span_um_median,median_3d_z_span_um_std,roi_area_um2_specimen_count,roi_area_um2_mean,roi_area_um2_median,roi_area_um2_std,sampled_roi_volume_um3_specimen_count,sampled_roi_volume_um3_mean,sampled_roi_volume_um3_median,sampled_roi_volume_um3_std,z_boundary_track_fraction_specimen_count,z_boundary_track_fraction_mean,z_boundary_track_fraction_median,z_boundary_track_fraction_std
KJ,1,1,4624.0,4624.0,,1,101.29770530172799,101.29770530172799,,1,332.5139035085134,332.5139035085134,,1,10.52,10.52,,1,1.558,1.558,,1,1.7122,1.7122,,1,1.5735,1.5735,,1,7.398548942449581,7.398548942449581,,1,0.7731401384083045,0.7731401384083045,,1,10.916883321384908,10.916883321384908,,1,1.2195027569457249,1.2195027569457249,,1,1.4105613540018584,1.4105613540018584,,1,17.15247224016886,17.15247224016886,,1,1.38473642800944,1.38473642800944,,1,45647.62830734253,45647.62830734253,,1,1390618.542927066,1390618.542927066,,1,0.06237260497350183,0.06237260497350183,
WT,1,1,2816.0,2816.0,,1,78.37072622654978,78.37072622654978,,1,337.88735764567423,337.88735764567423,,1,8.952,8.952,,1,1.692,1.692,,1,1.9275,1.9275,,1,1.7532,1.7532,,1,5.931504677342636,5.931504677342636,,1,0.7624289772727273,0.7624289772727273,,1,9.291831344991367,9.291831344991367,,1,1.1799289075165784,1.1799289075165784,,1,1.4375745315470598,1.4375745315470598,,1,14.723364899798138,14.723364899798138,,1,1.038552321007081,1.038552321007081,,1,35931.78391456604,35931.78391456604,,1,833413.83934021,833413.83934021,,1,0.1455223880597015,0.1455223880597015,
