run_id,width_jump,length_jump,area_jump,centroid_jump,long_outliers,tortuous_outliers,thick_outliers,taper_outliers,all_flagged
1,0.4,0.6,0.7,6.0,834,114,218,728,5432
2,0.4,0.6,0.7,8.0,834,114,218,728,5432
3,0.4,0.6,0.7,10.0,834,114,218,728,5432
4,0.5,0.6,0.7,6.0,806,137,175,521,6722
5,0.5,0.6,0.7,8.0,806,137,175,521,6722
6,0.5,0.6,0.7,10.0,806,137,175,521,6722
7,0.6,0.6,0.7,6.0,806,137,175,521,6722
8,0.6,0.6,0.7,8.0,806,137,175,521,6722
9,0.6,0.6,0.7,10.0,806,137,175,521,6722
